"ID","SENTENCE","ARG1","REL","ARG2","CONTEXT","A"
"1","O show ainda conta com as participações especiais dos cantores Zeca Pagodinho (apenas no DVD) e Dominguinhos.","O show ","conta com ","as participações especiais dos  cantores ","","1"
"2","Esse asteróide foi descoberto em 24 de Maio de 1931 por Cyril Jackson.","Esse asteróide ","foi descoberto em ","24 de Maio de 1931 por Cyril_Jackson ","","1"
"3","A Bélgica participou no Festival Eurovisão da Canção em 1983.","A Bélgica ","participou no   ","Festival_Eurovisão da  Canção em 1983 ","","1"
"4","O Association Sportive d'Origine Arménienne de Valence foi um clube de futebol francês.","O Association_Sportive "," d'Origine  Arménienne_de_Valence  foi  um  clube  de","futebol francês ","","0"
"",""," Arménienne_de_Valence foi um clube de futebol francês "," d'Origine","O Association_Sportive ","","0"
"5","Em tempos pré-históricos as cavernas protegiam os nossos antepassados das intempérides e dos animais selvagens.","as cavernas ","protegiam os nossos antepassados das   ","intempérides ","Em tempos pré - históricos ","1"
"6","Hirsch (asteróide 14214) é um asteróide da cintura principal , a 2,0188447 UA.","Hirsch ","é um asteróide da   ","cintura principal ","","1"
"",""," um asteróide da  cintura principal "," é","Hirsch ","","1"
"7","O Webster's Dictionary também define um enfant terrible como uma pessoa que geralmente tem sucesso e que é fortemente não ortodoxo, inovador ou de vanguarda.","O Webster's_Dictionary ","define ","um enfant ","","1"
"","","um enfant ","terrible como ","uma pessoa "," que geralmente tem sucesso e que é fortemente não ortodoxo","0"
"","","que ","é fortemente   não","ortodoxo ","","0"
"8","Luis Alfredo López (29 de agosto de 1986) é um futebolista profissional hondurenho que atua como atacante.","Luis_Alfredo_López ","é ","um futebolista profissional ","","1"
"","","hondurenho ","atua como ","atacante ","","1"
"","","um futebolista profissional ","é ","Luis_Alfredo_López ","","1"
"9","Joanna Dove Hayes (Williamsport, 23 de dezembro de 1976) é um atleta barreirista e campeã olímpica norte-americana.","Joanna_Dove_Hayes ","é um atleta barreirista","campeã olímpica ","","1"
"",""," um atleta barreirista e campeã olímpica "," é","Joanna_Dove_Hayes ","","1"
"10","O álbum segue a mesma linha lançada pelo artista no álbum Retropolis, e seguida em Stardust We Are.","O álbum ","segue ","a mesma linha ","","1"
"","","a mesma linha ","lançada pelo   ","artista no  álbum ","","1"
"11","Vojnik (em alemão: Hoheneck) é um município da Eslovênia.","Vojnik ","é um município da   ","Eslovênia ","","1"
"",""," um município da  Eslovênia "," é","Vojnik ","","1"
"12","São seis formas que Elta pode transformar dependendo da combinação dos orbs.","Elta ","pode transformar dependendo da   ","combinação dos  orbs ","","1"
"13","A autoridade científica da espécie é Fairmaire, tendo sido descrita no ano de 1857.","A autoridade científica da  espécie ","é ","Fairmaire ","","1"
"","","Fairmaire ","tendo sido descrita no   ","ano de 1857 ","","1"
"14","Sua menor audiência foi alcançada em 31 de dezembro de 2004, quando marcou apenas 17 pontos.","Sua menor audiência ","foi alcançada em ","31 de dezembro de 2004 "," quando marcou apenas 17 pontos","1"
"15","Pierre começou a jogar Futsal em 1985 nas escolinhas do clube Álvares Cabral em Vitória, ES.","Pierre ","começou a jogar Futsal em ","1985 nas  escolinhas do  clube ","","1"
"16","Richarnold (asteróide 20306) é um asteróide da cintura principal, a 2,2952118 UA.","Richarnold ","é um asteróide da   ","cintura principal ","","1"
"",""," um asteróide da  cintura principal "," é","Richarnold ","","1"
"17","O WWE Judgment Day foi um evento Pay-Per-View da WWE.","O WWE_Judgment_Day ","foi um evento Pay-Per-View da   ","WWE ","","1"
"",""," um evento Pay-Per-View da  WWE "," foi","O WWE_Judgment_Day ","","1"
"18","O primeiro serviço do MD-11 nos Estados Unidos ocorreu ainda em 1990 e foi inaugurado pela Delta Airlines.","O primeiro serviço do  MD-11 nos  Estados_Unidos ","ocorreu ainda em ","1990","","1"
"","","O primeiro serviço do  MD-11 nos  Estados_Unidos ","foi inaugurado pela   ","Delta_Airlines ","","1"
"19","Este asteroide foi descoberto no dia 31 de agosto de 2000 por LINEAR em Socorro.","Este asteroide ","foi descoberto no   ","dia 31 de agosto de 2000 por LINEAR em Socorro ","","1"
"20","Havana é uma cidade localizada no estado americano de Illinois, no Condado de Mason.","Havana ","é ","uma cidade ","","1"
"","","uma cidade ","localizada no   ","estado americano de Illinois ","","1"
"","","Havana ","localizada no   ","estado americano de Illinois ","","1"
"","","uma cidade ","é ","Havana ","","1"
"21","A Universidade Flinders (em inglês: Flinders University ou The Flinders University of South Australia) é uma universidade localizada na Austrália Meridional, Austrália.","A Universidade_Flinders ","é ","uma universidade ","","1"
"","","uma universidade ","localizada na   ","Austrália_Meridional "," em inglês : Flinders University ou The_Flinders_University_of_South_Australia","1"
"","","uma universidade ","localizada na   ","Austrália "," em inglês : Flinders University ou The_Flinders_University_of_South_Australia","1"
"","","A Universidade_Flinders ","localizada na   ","Austrália_Meridional ","","1"
"","","A Universidade_Flinders ","localizada na   ","Austrália ","","1"
"","","uma universidade ","é ","A Universidade_Flinders ","","1"
"22","O KS era uma mesa com uma matriz de chaves, que o operador usava para comutar os troncos e ramais.","O KS ","era uma mesa com ","uma matriz de chaves "," que o operador usava para comutar os troncos e ramais","1"
"",""," uma mesa com uma matriz de chaves "," era","O KS ","","1"
"23","Ahillones é um município da Espanha na província de Badajoz, comunidade autónoma da Estremadura, de área 21,5 km².","Ahillones ","é um município da   ","Espanha na  província de Badajoz ","","1"
"",""," um município da  Espanha na  província de Badajoz "," é","Ahillones ","","1"
"24","Salleri é uma cidade do Nepal.","Salleri ","é uma cidade do   ","Nepal ","","1"
"",""," uma cidade do  Nepal "," é","Salleri ","","1"
"25","A galáxia NGC 3158 foi descoberta em 17 de Março de 1787 por William Herschel.","NGC 3158 ","foi descoberta em ","17 de Março de 1787 por William_Herschel ","","1"
"26","No Xuxa Park, \Ilariê\"" voltou a ser executada em 1996 pelo bloco Xuxa Hits.""","Ilariê ","voltou a ser executada em ","1996 pelo  bloco ","","1"
"27","Horntown é uma cidade localizada no estado norte-americano de Oklahoma, no Condado de Hughes.","Horntown ","é ","uma cidade ","","1"
"","","uma cidade ","localizada no   ","estado norte-americano ","","1"
"","","Horntown ","localizada no   ","estado norte-americano ","","1"
"","","uma cidade ","é ","Horntown ","","1"
"28","O Afogadense foi eliminado por não ter pago as taxas de inscrição por completo impostas pela Federação.","O Afogadense ","foi eliminado por ter pago as taxas de ","inscrição por completo impostas pela  Federação ","","1"
"29","O Tenente Niki, da Guarda Real austríaca, está de serviço na Viena do século XIX, numa parada militar que saúda o Rei Adolf e a Princesa Anna, sua filha, do vizinho reino de Flausenshaum.","O Tenente_Niki ","está de ","serviço na  Viena do  século "," em uma parada militar que saúda o Rei_Adolf e a Princesa_Anna","1"
"30","Naganuma (asteróide 15350) é um asteróide da cintura principal, a 1,7205248 UA.","Naganuma ","é um asteróide da   ","cintura principal ","","1"
"",""," um asteróide da  cintura principal "," é","Naganuma ","","1"
"31","Louis François Élisabeth Ramond, barão de Carbonnières (Strasbourg, 4 de janeiro de 1755 – Paris, 14 de maio de 1827) foi um político, geólogo, explorador e botânico francês.","barão de Carbonnières ","foi ","um político ","","1"
"","","barão de Carbonnières ","foi ","um geólogo ","","1"
"","","barão de Carbonnières ","foi ","um explorador ","","1"
"","","um político ","foi ","barão de Carbonnières ","","1"
"","","um geólogo ","foi ","barão de Carbonnières ","","1"
"","","um explorador ","foi ","barão de Carbonnières ","","1"
"32","A Assembleia Legislativa do Estado de Goiás é o órgão de representação do Poder Legislativo através dos deputados estaduais do Estado de Goiás.","A Assembleia_Legislativa do  Estado de Goiás ","é o órgão de ","representação do  Poder_Legislativo ","","1"
"",""," o órgão de representação do  Poder_Legislativo "," é","A Assembleia_Legislativa do  Estado de Goiás ","","1"
"33","Exemplos são o já falecido pregador inglês Smith Wigglesworth que ajudou em muito no avivamento na Nova Zelândia no início do século passado, Paul David Cull, neo-zeolandês líder do ministério Avivamento Já!.","Exemplos ","são ","o já falecido pregador inglês ","","0"
"","","o ","falecido ","pregador inglês ","","0"
"","","Smith_Wigglesworth ","ajudou em ","muito no  avivamento na  Nova_Zelândia no  início do ","","0"
"","","avivamento na  Nova_Zelândia no  início do  século "," passado  neo-zeolandês  líder  do  ","ministério Avivamento_Já ","","0"
"","","o já falecido pregador inglês ","são ","Exemplos ","","0"
