"ID","SENTENCE","ARG1","REL","ARG2","CONTEXT","A","M","ERR","NORMAL","TRANSITIVE","SYMMETRIC","CONTEXTUAL","INTENTIONAL"
"1","Nascimento tem 48 mandados de prisão decretados pela Justiça e é apontado pela polícia como um dos dez mais procurados do país .","Nascimento ","tem 48 mandados de ","prisão ","","1","1","","1","0","0","0","0"
"","","48 mandados de prisão ","decretados pela   ","Justiça ","","1","1","","1","0","0","0","0"
"","","48 mandados de prisão ","é apontado pela   ","polícia "," como um dos  dez mais procurados do  país","0","","1","1","0","0","1","0"
"2","Em 1986, foi eleito senador no Distrito Federal pelo PDT, com 197.637 votos (segundo mais votado) .","1986","foi eleito senador no   ","Distrito_Federal pelo  PDT ","","0","","1","1","0","0","0","0"
"3","Escrevi meu livro contra essa idéia de que o cânone morreu, de que Shakespeare não interessa mais porque é um europeu macho, branco e morto .","Shakespeare "," não interessa mais porque ","é ","","0","","1","1","0","0","0","0"
"","","mais porque ","é ","um europeu ","","0","","1","1","0","0","0","0"
"","","um europeu ","é ","mais porque ","","0","","4","0","0","1","0","0"
"4","Era um fardo muito pesado para carregar entre os metalúrgicos .","um fardo ","pesado para carregar entre ","os metalúrgicos ","","1","1","","1","0","0","0","0"
"5","No dia 28 de abril, durante a celebração de agradecimento a Deus, no Pio Brasileiro, houve uma homenagem ao irmão jesuíta Ricardo Marchi que, há 62 anos, deixou nossa pátria para até hoje trabalhar no colégio .","dia 28 de abril ","houve uma homenagem ao   ","irmão jesuíta Ricardo_Marchi ","","1","1","","1","0","0","0","0"
"","","dia 28 de abril ","deixou nossa pátria para ","até hoje ","","0","","1","1","0","0","0","0"
"","","para até ","trabalhar no   ","colégio ","","0","","1","1","0","0","0","0"
"6","Os vivaldinos sabem que há uma enxurrada de mentiras sobre o funcionalismo brasileiro .","Os vivaldinos ","sabem que há uma enxurrada de ","mentiras sobre o funcionalismo brasileiro ","","1","1","","1","0","0","0","0"
"7","A primeira edição da Olimpíada Gay ocorreu em 1982, em San Francisco (costa oeste) .","A primeira edição da  Olimpíada_Gay ","ocorreu em ","1982"," em San_Francisco ( costa oeste )","1","1","","1","0","0","1","0"
"8","A Trellis DataCom está vendendo o fax/modem PC144V, padrão PCMCIA .","A Trellis_DataCom ","está vendendo ","o fax/modem ","","1","1","","1","0","0","0","0"
"9","Na capital, o licenciamento pode ser feito no Detran, através de despachantes (cobram em torno de CR$ 100 mil, fora eventuais multas) ou nos principais shoppings .","o licenciamento ","pode ser feito no   ","Detran ","","1","1","","1","0","0","0","0"
"","","despachantes ","cobram em_torno_de ","CR$ 100 ","","0","","7","1","0","0","0","0"
"10","A US West publica mais de 300 listas em 14 Estados norte-americanos .","West ","publica mais de ","300 listas em 14 Estados norte-americanos ","","1","0","","1","0","0","0","0"
"11","Desde 87, Bueno já entrou com ação para cerca de 30 mil pais, com sucesso para apenas metade dos casos .","Bueno ","entrou com ","ação para cerca_de 30 mil pais ","","1","1","","1","0","0","0","0"
"12","Em maio poderá ocorrer o fato político mais relevante dos últimos anos com a provável eleição de Vicentinho para a presidência da Central Única dos Trabalhadores (CUT) .","maio ","poderá ocorrer o fato político mais relevante dos   ","últimos anos com a provável eleição de Vicentinho para a presidência da  Central_Única_dos_Trabalhadores ","","1","0","","1","0","0","0","0"
"","","maio ","poderá ocorrer o fato político mais relevante dos   ","últimos anos com a provável eleição de Vicentinho para a presidência da  CUT ","","1","0","","1","0","0","0","0"
"13","Fatores que só o empresário pode determinar vão levar a uma progressiva introdução do novo estilo, primeiramente nos setores mais favoráveis, de acordo com a tarefa a ser cumprida, o tempo disponível para decisão, o alcance da decisão etc .","o empresário ","pode determinar vão levar a ","uma progressiva introdução do  novo estilo ","","0","","2","1","0","0","0","0"
"","","acordo com a tarefa ","ser  cumprida  o  alcance  da  ","decisão ","","0","","1.2","1","0","0","0","0"
"14","Segundo a SMA, a experiência é inédita no Brasil .","a experiência ","é inédita no   ","Brasil ","Segundo a SMA","1","1","","1","0","0","1","0"
"15","Dener morreu no dia 19 de abril num acidente de carro, no Rio .","Dener ","morreu no   ","dia 19 de abril em um acidente de carro ","","1","0","","1","0","0","0","0"
"16","Na configuração do scanner, esse usuário pode se surpreender por encontrar a exata marca e modelo do seu equipamento e mesmo assim receber invariavelmente a mensagem \scanner not ready\"" sempre que tenta acioná-lo .""","esse usuário ","pode surpreender por encontrar a exata marca","modelo do  seu equipamento ","","0","","1.2","1","0","0","0","0"
"","","mesmo ","receber invariavelmente ","a mensagem ","","0","","1","1","0","0","0","0"
"","","ready \ ""","tenta acioná ","#REF!","","0","0","1.7","1","0","0","0","0"
"17","A área de multimídia promete ser uma festa, como tem acontecido nas últimas feiras internacionais (e nacionais) de informática .","A área de multimídia ","promete ser ","uma festa "," como tem acontecido nas  últimas feiras internacionais ( e nacionais ) de informática","1","1","","1","0","0","1","0"
"",""," ser uma festa "," promete","A área de multimídia ","","1","1","","0","0","1","0","0"
