1	Nascimento	tem 48 mandados de	prisão	1
1	48 mandados de prisão	decretados pela	Justiça	1
1	48 mandados de prisão	é apontado pela	polícia	0
2	1986	foi eleito senador no	Distrito_Federal pelo  PDT	0
3	Shakespeare	não interessa mais porque	é	0
3	mais porque	é	um europeu	0
3	um europeu	é	mais porque	0
4	um fardo	pesado para carregar entre	os metalúrgicos	1
5	dia 28 de abril	houve uma homenagem ao	irmão jesuíta Ricardo_Marchi	1
5	dia 28 de abril	deixou nossa pátria para	até hoje	0
5	para até	trabalhar no	colégio	0
6	Os vivaldinos	sabem que há uma enxurrada de	mentiras sobre o funcionalismo brasileiro	1
7	A primeira edição da  Olimpíada_Gay	ocorreu em	1982	1
8	A Trellis_DataCom	está vendendo	o fax/modem	1
9	o licenciamento	pode ser feito no	Detran	1
9	despachantes	cobram em_torno_de	CR$ 100	0
10	West	publica mais de	300 listas em 14 Estados norte-americanos	1
11	Bueno	entrou com	ação para cerca_de 30 mil pais	1
12	maio	poderá ocorrer o fato político mais relevante dos	últimos anos com a provável eleição de Vicentinho para a presidência da  Central_Única_dos_Trabalhadores	1
12	maio	poderá ocorrer o fato político mais relevante dos	últimos anos com a provável eleição de Vicentinho para a presidência da  CUT	1
13	o empresário	pode determinar vão levar a	uma progressiva introdução do  novo estilo	0
13	acordo com a tarefa	ser  cumprida  o  alcance  da	decisão	0
14	a experiência	é inédita no	Brasil	1
15	Dener	morreu no	dia 19 de abril em um acidente de carro	1
16	mesmo	receber invariavelmente	a mensagem	0
17	A área de multimídia	promete ser	uma festa	1
17	ser uma festa	promete	A área de multimídia	1
18	as seis equipes	juntas acumularam	12 vitórias	1
18	as seis equipes	juntas acumularam	12 quatro	0
19	O piloto da  Jordan	acha muito	difícil	1
19	muito difícil	baixar do	1min18s	0
20	os governos	costumam esquecer de fazer	a sua parte	1
20	a sua parte	dão o mau exemplo	uma insatisfação generalizada	0
20	a sua parte	inspiram	uma insatisfação generalizada	0
21	Pantaleão_Mansi	diz viver como estivesse no	século passado	1
22	A URV	é calculada a_partir_de	uma média de índices de inflação	1
23	A denúncia	é submetida à	análise do  órgão do  Judiciário responsável pelo  caso	1
24	Vicente_Barbatto_Zacarias	caíram de	uma altura de cerca_de 20 metros	1
26	As duas esquadras	sofreram o mesmo número de	infrações 47	1
28	respeito a essas normas	está ligado aos	atributos morais dos  participantes	0
29	Medeiros	disse que	sua candidatura	0
29	sua candidatura	viabiliza a candidatura de	Esperidião_Amin à  Presidência	1
30	sindicato	reúne funcionários da	Sabesp	1
30	sindicato	reúne funcionários da	Cetesb	1
30	sindicato	reúne funcionários da	Fundação_Florestal	1
30	O Sintaema	decretou greve a_partir_da	a 0h	1
31	O diretor-presidente da  Splice	afirmou ontem que	a prefeitura	0
31	O diretor-presidente da  Antonio_Beldi	afirmou ontem que	a prefeitura	0
31	a prefeitura	não pagou os US$ 600 mil referentes à	coleta de lixo no  bairro da  Penha nos  meses de dezembro	1
31	a prefeitura	não pagou os US$ 600 mil referentes à	coleta de lixo no  bairro da  Penha nos  meses de janeiro	1
31	zona	leste	) nos  meses	1
32	Sebastião_Zorzeto	disse que	o governo	0
32	o governo	vai intensificar a cobrança de	ICMS a_partir_de janeiro	1
33	Bentsen	viaja à	China	1
