ID SENTENÇA;SENTENÇA;ID EXTRAÇÃO;ARG1;REL;ARG2;COERÊNCIA;MINIMALIDADE;MÓDULO SUJEITO;MÓDULO RELAÇÃO;MÓDULO ARG2;
"1";"Teoricamente , um casal poderia abrir quatro contas Tesco e ganhar 3 % em £ 12,000 – £ 360 . ";"1.0";"um casal ";" poderia abrir";"quatro contas Tesco ";"";"";"1";"1";"1";
"";"";"2.0";"um casal ";" poderia abrir";"quatro contas Teoricamente ";"";"";"1";"1";"1";
"2";"Entretanto , os clientes de o Banco de a Escócia ganham 3 % em balanços de £ 3,000 - £ 5,000 quando adicionam a opção gratuita Vantage a as suas contas . ";"1.0";"os clientes de o Banco de a Escócia ";" ganham";"3 % ";"";"";"1";"1";"1";
"";"";"2.0";"os clientes de o Banco de a Escócia ";" ganham";"3 % em balanços de £ ";"";"";"1";"1";"1";
"";"";"3.0";"os clientes de o Banco de a Escócia ";" ganham";"3 % em balanços de £ 3,000 - £ 5,000 ";"";"";"1";"1";"1";
"";"";"4.0";"os clientes de o Banco de a Escócia ";" ganham";"3 % em balanços de £ 3,000 - £ 5,000 quando adicionam a opção gratuita Vantage a as suas contas ";"";"";"1";"1";"1";
"";"";"5.0";"os clientes de o Banco de a Escócia ";" ganham";"3 % Entretanto ";"";"";"1";"1";"1";
"";"";"6.0";"os clientes de o Banco de a Escócia ";" ganham";"3 % 3,000 - £ 5,000 ";"";"";"1";"1";"0";
"";"";"7.0";"os clientes de o Banco de a Escócia ";" ganham";"3 % quando adicionam a opção gratuita Vantage a as suas contas ";"";"";"1";"1";"0";
"3";"Com isto , em teoria , você é capaz de acessar seu dinheiro sempre que quiser . ";"1.0";"você ";" é";"capaz de acessar seu dinheiro ";"";"";"1";"1";"1";
"";"";"2.0";"você ";" é";"capaz de acessar seu dinheiro sempre que quiser ";"";"";"1";"1";"1";
"";"";"3.0";"você ";" é";"capaz de acessar seu dinheiro sempre Com isto ";"";"";"1";"1";"1";
"";"";"4.0";"você ";" é";"capaz de acessar seu dinheiro sempre Com isto , em teoria ";"";"";"1";"1";"1";
"4";"Esta taxa de 3 % também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £ 15,001 - £ 19,999 , durante um período de dois a três anos . ";"1.0";"Esta taxa de 3 % ";" também se aplica";"titulares de cartão Nectar ";"";"";"1";"1";"1";
"";"";"2.0";"Esta taxa de 3 % ";" também se aplica";"titulares de cartão Nectar que pensam em pedir emprestado 15,001 - £ 19,999 ";"";"";"1";"1";"1";
"";"";"3.0";"Esta taxa de 3 % ";" também se aplica";"titulares de cartão Nectar que pensam em pedir emprestado 15,001 - £ 19,999 , durante um período de dois a três anos ";"";"";"1";"1";"1";
"";"";"4.0";"Esta taxa de 3 % ";" também se aplica";"titulares de cartão Nectar que pensam , durante um período de dois a três anos ";"";"";"1";"1";"0";
"5";"O enxofre é um nutriente vital para o crescimento saudável de as plantas , mas os solos en o Reino Unido são naturalmente deficientes deste mineral . ";"1.0";"O enxofre ";" é um nutriente";"vital para o crescimento saudável de as plantas ";"";"";"1";"1";"1";
"";"";"2.0";"O enxofre ";" é um nutriente";"vital para o crescimento saudável de as plantas , mas os solos en o Reino Unido são naturalmente deficientes deste mineral ";"";"";"1";"1";"1";
"";"";"3.0";"O enxofre ";" é um nutriente";"para o crescimento saudável de as plantas ";"";"";"1";"1";"0";
"";"";"4.0";"O enxofre ";" é um nutriente";"mas os solos en o Reino Unido são naturalmente deficientes deste mineral ";"";"";"1";"1";"0";
"";"";"5.0";"os solos en o Reino Unido ";" são";"naturalmente deficientes deste mineral ";"";"";"1";"1";"1";
"";"";"6.0";"O enxofre ";" é";"um nutriente vital ";"";"";"1";"5";"1";
"";"";"7.0";"O enxofre ";" é";"os solos en o Reino Unido são naturalmente deficientes deste mineral ";"";"";"1";"5";"1";
"6";"Um avanço rápido para 2016 e isso é cada vez mais digno de atenção . ";"1.0";"Um avanço ";" rápido";"para 2016 ";"";"";"1";"1";"1";
"";"";"2.0";"Um avanço ";" rápido";"para 2016 e isso é cada vez mais digno de atenção ";"";"";"1";"1";"1";
"";"";"3.0";"Um avanço ";" rápido";"e isso é cada vez mais digno de atenção ";"";"";"1";"1";"0";
"";"";"4.0";"isso ";" é cada vez";"mais digno de atenção ";"";"";"1";"1";"1";
"";"";"5.0";"isso ";" é";"cada vez mais digno de atenção ";"";"";"1";"5";"1";
"7";"Surpreendentemente como pode parecer , até as nuvens de chuvas ácidas podem ter um lado positivo . ";"1.0";"como Surpreendentemente parecer , até as nuvens de chuvas ácidas ";" podem ter";"um lado positivo ";"";"";"1";"1";"1";
"8";"O mundo pode estar enfurecido e absurdo - en o entanto por o menos alguém tem dignidade para continuar a protestar contra esse fato . ";"1.0";"O mundo ";" pode estar";"enfurecido - e absurdo en o entanto ";"";"";"1";"1";"1";
"";"";"2.0";"alguém ";" tem";"dignidade ";"";"";"1";"1";"1";
"";"";"3.0";"alguém ";" tem";"dignidade para continuar a protestar contra esse fato ";"";"";"1";"1";"1";
"";"";"4.0";"alguém ";" tem";"dignidade por o menos ";"";"";"1";"1";"1";
